BTC,3,,num_tickers
ETH,3,,4906
BNB,3,,
XRP,3,,
USDT,4,,max_len
DOGE,4,,23
ADA,3,,
DOT,3,,
UNI,3,,
BCH,3,,
LTC,3,,
LINK,4,,
USDC,4,,
VET,3,,
XLM,3,,
SOL,3,,
FIL,3,,
THETA,5,,
TRX,3,,
WBTC,4,,
XMR,3,,
BUSD,4,,
NEO,3,,
CAKE,4,,
LUNA,4,,
EOS,3,,
BSV,3,,
MIOTA,5,,
KLAY,4,,
AAVE,4,,
FTT,3,,
CRO,3,,
BTT,3,,
ATOM,4,,
HT,2,,
MATIC,5,,
XTZ,3,,
MKR,3,,
ETC,3,,
AVAX,4,,
ALGO,4,,
DAI,3,,
COMP,4,,
RUNE,4,,
KSM,3,,
DASH,4,,
CHZ,3,,
XEM,3,,
EGLD,4,,
BTCB,4,,
ZEC,3,,
HOT,3,,
DCR,3,,
STX,3,,
WAVES,5,,
HBAR,4,,
LEO,3,,
MANA,4,,
ZIL,3,,
ENJ,3,,
DGB,3,,
SNX,3,,
NEXO,4,,
NEAR,4,,
UST,3,,
GRT,3,,
SC,2,,
FTM,3,,
TFUEL,5,,
BAT,3,,
SUSHI,5,,
YFI,3,,
BTG,3,,
ICX,3,,
UMA,3,,
ONT,3,,
RVN,3,,
QTUM,4,,
ONE,3,,
ZRX,3,,
CEL,3,,
HNT,3,,
ZEN,3,,
CHSB,4,,
OKB,3,,
BNT,3,,
ANKR,4,,
RSR,3,,
KCS,3,,
NANO,4,,
IOST,4,,
CELO,4,,
REV,3,,
XVS,3,,
OMG,3,,
DENT,4,,
FLOW,4,,
AR,2,,
REN,3,,
XVG,3,,
VGX,3,,
CRV,3,,
PAX,3,,
1INCH,5,,
WRX,3,,
CFX,3,,
IOTX,4,,
RENBTC,6,,
LPT,3,,
HUSD,4,,
LSK,3,,
LRC,3,,
BTMX,4,,
KNC,3,,
BTCST,5,,
CKB,3,,
MDX,3,,
VTHO,4,,
SNT,3,,
STORJ,5,,
OCEAN,5,,
INJ,3,,
OGN,3,,
QNT,3,,
REEF,4,,
ZKS,3,,
STMX,4,,
TEL,3,,
ABBC,4,,
SXP,3,,
MCO,3,,
SRM,3,,
EWT,3,,
ALPHA,5,,
GLM,3,,
BCD,3,,
FET,3,,
REP,3,,
SKL,3,,
DODO,4,,
WIN,3,,
BAL,3,,
SAND,4,,
MAID,4,,
NKN,3,,
ARDR,4,,
WAXP,4,,
FUN,3,,
PROM,4,,
ANT,3,,
SNM,3,,
BTS,3,,
AGI,3,,
MED,3,,
KIN,3,,
WOO,3,,
CELR,4,,
KMD,3,,
CVC,3,,
BAND,4,,
NMR,3,,
NU,2,,
USDN,4,,
GT,2,,
STEEM,5,,
GNO,3,,
KAVA,4,,
SWAP,4,,
TUSD,4,,
ORBS,4,,
WAN,3,,
ALICE,5,,
BADGER,6,,
SYS,3,,
JST,3,,
STRAX,5,,
XHV,3,,
VLX,3,,
PPT,3,,
BTM,3,,
UBT,3,,
COTI,4,,
ARK,3,,
UQC,3,,
ONG,3,,
MTL,3,,
RDD,3,,
AVA,3,,
